field,Q1,Q3,IQR,IQR_low,IQR_high,min,max,mean,std
brightness_score,122.17239782890019,148.51778765678006,26.34538982787987,82.65431308708038,188.03587239859985,14.95230923694779,253.4596875,134.838958414471,24.53377193482251
image_width,560.0,560.0,0.0,560.0,560.0,160.0,560.0,558.7554841870339,14.145875895225517
image_height,420.0,747.0,327.0,-70.5,1237.5,120.0,1280.0,602.0826846660498,189.6133058034803
resolution_ratio,1.4,1.8666666666666667,0.4666666666666668,0.6999999999999997,2.566666666666667,0.4,1.8666666666666667,1.6474467004155098,0.2837247533691643
entropy_score,7.417550086975098,7.725091218948364,0.3075411319732666,6.956238389015198,8.186402916908264,0.2996314167976379,7.990475654602051,7.506098408511764,0.431945621289632
person_area_ratio,0.0,0.0,0.0,0.0,0.0,0.0,1.7715848214285714,0.01617552745732034,0.06867917582032922
food_area_ratio,0.0,0.0,0.0,0.0,0.0,0.0,1.9226683673469387,0.016326970327821606,0.0929553207969764
text_area_ratio,0.0,0.029039371772805453,0.029039371772805453,-0.04355905765920818,0.07259842943201364,0.0,1.0,0.028654189635104327,0.06038208402386847
num_text_boxes,0.0,3.0,3.0,-4.5,7.5,0.0,183.0,2.8074138587991944,5.670774431008812
scene_max,0.2230507731437683,0.253457635641098,0.030406862497329712,0.17744047939777374,0.2990679293870926,0.1164915934205055,0.3269310295581817,0.23768513342286032,0.02342619858661916
scene_topk_avg,0.20760508626699445,0.23585864901542658,0.02825356274843213,0.16522474214434624,0.27823899313807476,0.1113389059901237,0.2937817275524139,0.2208267836987398,0.022018625544162118
object_max,0.18567254394292831,0.2099668681621551,0.02429432421922678,0.14923105761408814,0.24640835449099527,0.1413054913282394,0.3115042150020599,0.19902852847608457,0.019459913927879935
object_topk_avg,0.17626439034938812,0.197227731347084,0.020963340997695867,0.14481937885284432,0.2286727428436278,0.1290976405143737,0.2642477452754974,0.18752073958636978,0.016469705290522905
gap_max,0.02257428318262095,0.06016228348016735,0.0375880002975464,-0.03380771726369865,0.11654428392648694,-0.1180124878883361,0.1274877786636352,0.038656604946775704,0.03155599705645622
gap_avg,0.0194306001067161,0.052590899169444996,0.033160299062728896,-0.030309848487377243,0.10233134776353833,-0.0878124386072158,0.1091692894697189,0.033306044112369974,0.028340437450937617
